,name,bonus,goals,assists,minutes,penalties_missed,penalties_saved,clean_sheets,points,reds,yellows,team,position,cost
530,William Osula,0,0,0,0,0,0,0,0,0,0,SHU,FWD,45
531,Theo Walcott,2,3,4,1629,0,0,5,76,0,0,SOU,MID,58
532,Takumi Minamino,2,3,0,999,0,0,2,48,0,1,SOU,MID,60
533,Shane Long,0,0,0,201,0,0,1,12,0,0,SOU,FWD,51
534,Ryan Bertrand,4,0,2,2598,0,0,8,78,0,5,SOU,DEF,50
535,Alex McCarthy,8,0,0,2700,0,0,7,94,0,2,SOU,GKP,44
536,Oriol Romeu Vidal,4,1,1,1762,0,0,6,52,0,6,SOU,MID,45
537,Nathan Redmond,3,2,3,1727,0,0,1,67,0,1,SOU,MID,64
538,Danny Ings,21,12,4,2172,0,0,6,131,0,1,SOU,FWD,84
539,Jack Stephens,6,0,0,1537,0,0,4,41,0,2,SOU,DEF,46
540,Stuart Armstrong,4,4,7,2764,0,0,8,115,0,3,SOU,MID,55
541,Jannik Vestergaard,4,3,1,2574,0,0,6,86,1,3,SOU,DEF,47
542,James Ward-Prowse,17,8,7,3420,1,0,9,156,0,5,SOU,MID,59
543,Angus Gunn,0,0,0,0,0,0,0,0,0,0,SOU,GKP,43
544,Sofiane Boufal,0,0,0,0,0,0,0,0,0,0,SOU,MID,54
545,Josh Sims,0,0,0,0,0,0,0,0,0,0,SOU,MID,43
546,Kyle Walker-Peters,7,0,3,2646,0,0,9,93,0,4,SOU,DEF,47
547,Jan Bednarek,11,1,1,3100,0,0,9,94,1,5,SOU,DEF,47
548,Che Adams,16,9,7,2662,0,0,7,137,0,1,SOU,FWD,57
549,Yan Valery,0,0,0,101,0,0,0,3,0,0,SOU,DEF,47
550,William Smallbone,0,0,0,171,0,0,0,5,0,0,SOU,MID,43
551,Jake Vokins,0,0,0,66,0,0,0,1,0,0,SOU,DEF,39
552,Michael Obafemi,0,0,0,57,0,0,0,4,0,0,SOU,FWD,46
553,Moussa Djenepo,0,1,2,1229,0,0,3,46,0,5,SOU,MID,54
554,Mohammed Salisu,0,0,0,841,0,0,0,14,0,1,SOU,DEF,43
555,Fraser Forster,0,0,0,720,0,1,2,30,0,0,SOU,GKP,40
556,Nathan Tella,2,1,2,735,0,0,2,36,0,2,SOU,MID,43
557,Ibrahima Diallo,0,0,0,1010,0,0,3,31,0,3,SOU,MID,45
558,Daniel N'Lundulu,0,0,0,102,0,0,0,13,0,0,SOU,FWD,45
559,Kayne Ramsay,0,0,0,90,0,0,0,-3,0,1,SOU,DEF,40
560,Kgaogelo Chauke,0,0,0,0,0,0,0,0,0,0,SOU,MID,44
561,Harry Lewis,0,0,0,0,0,0,0,0,0,0,SOU,GKP,40
562,Will Ferry,0,0,0,0,0,0,0,0,0,0,SOU,MID,45
563,Allan Tchaptchet,0,0,0,12,0,0,0,0,0,0,SOU,DEF,40
564,Caleb Watts,0,0,0,36,0,0,0,2,0,1,SOU,MID,45
565,Alexandre Jankewitz,0,0,0,2,0,0,0,-1,1,0,SOU,MID,45
566,Ryan Finnigan,0,0,0,0,0,0,0,0,0,0,SOU,MID,45
567,Hugo Lloris,13,0,0,3420,0,0,12,149,0,0,TOT,GKP,56
568,Danny Rose,0,0,0,0,0,0,0,0,0,0,TOT,DEF,47
569,Moussa Sissoko,2,0,0,1576,0,0,5,44,0,3,TOT,MID,47
570,Toby Alderweireld,4,1,0,2240,0,0,10,88,0,2,TOT,DEF,54
571,Erik Lamela,0,1,1,700,0,0,1,28,1,4,TOT,MID,57
572,Harry Kane,40,23,14,3083,0,0,12,242,0,1,TOT,FWD,119
573,Serge Aurier,4,2,3,1605,0,0,6,80,0,0,TOT,DEF,52
574,Heung-Min Son,26,17,11,3119,0,0,13,228,0,0,TOT,MID,96
575,Eric Dier,2,0,0,2520,0,0,8,77,0,3,TOT,DEF,46
576,Lucas Rodrigues Moura da Silva,5,3,5,1397,0,0,4,80,0,1,TOT,MID,64
577,Paulo Gazzaniga,0,0,0,0,0,0,0,0,0,0,TOT,GKP,43
578,Bamidele Alli,0,0,2,613,0,0,3,30,0,0,TOT,MID,74
579,Ben Davies,1,0,2,1340,0,0,4,52,0,1,TOT,DEF,45
580,Pierre-Emile Højbjerg,6,2,4,3420,0,0,12,107,0,9,TOT,MID,49
581,Harry Winks,0,0,0,856,0,0,1,19,0,5,TOT,MID,51
582,Davinson Sánchez,3,0,0,1486,0,0,4,43,0,1,TOT,DEF,52
583,Ryan Sessegnon,0,0,0,0,0,0,0,0,0,0,TOT,DEF,47
584,Steven Bergwijn,2,1,4,1202,0,0,5,55,0,3,TOT,MID,70
585,Gedson Carvalho Fernandes,0,0,0,0,0,0,0,0,0,0,TOT,MID,47
586,Japhet Tanganga,0,0,0,487,0,0,2,14,0,2,TOT,DEF,49
